game_title,game_genre
魔域帝國Zork,冒險遊戲
魔域帝國2,冒險遊戲
小蜜蜂,飛行射擊
魔域帝國3,冒險遊戲
龍穴歷險記,"動作遊戲, 冒險遊戲"
太空王牌,冒險遊戲
大金剛,動作遊戲
塞爾達傳說,動作角色扮演
Alter Ego,"冒險遊戲, 角色扮演, 模擬遊戲"
Sid Meier's Pirates! Gold Plus (Classic),"冒險遊戲, 模擬遊戲"
超越魔域帝國,冒險遊戲
瘋狂豪宅,冒險遊戲
洛克人2,動作遊戲
七星魔法使,動作角色扮演
廢土：最初的經典,角色扮演
魔域帝國零號,冒險遊戲
Gold Rush! Classic,"動作遊戲, 冒險遊戲"
信長之野望3：戰國群雄傳,策略遊戲
Tex Murphy: Mean Streets,"動作遊戲, 冒險遊戲"
上帝也瘋狂,即時戰略
印第安那瓊斯與聖戰騎兵,冒險遊戲
Zork Anthology,冒險遊戲
STAR FLEET II - Krellan Commander Version 2.0,"模擬遊戲, 策略遊戲"
大富翁,益智遊戲
Sid Meier's Covert Action,"冒險遊戲, 模擬遊戲"
LOOM,冒險遊戲
Command HQ,策略遊戲
Silent Service 2,模擬遊戲
Sands of Fire,"動作遊戲, 模擬遊戲, 策略遊戲"
腐屍之屋,動作遊戲
超級馬里奧世界,動作
最後野蠻帝國世界,角色扮演
Commander Keen,動作遊戲
紅色男爵,模擬遊戲
原始人的反擊,動作遊戲
美少女夢工廠,模擬遊戲
忍者蛙,動作遊戲
龍之巢穴2：時空扭曲,冒險遊戲
王國興亡錄,策略遊戲
Crystal Caves,動作遊戲
黑暗紀元,"冒險遊戲, 角色扮演"
Putt-Putt Joins the Parade,冒險遊戲
三國志3,策略
Cosmo's Cosmic Adventure,"動作遊戲, 冒險遊戲"
妖婦的誘惑,冒險遊戲
印第安那瓊斯與亞特蘭蒂斯之謎,動作遊戲
國王密使6：希望之旅,冒險遊戲
索尼克2,動作遊戲
Bubsy Two-Fur,"動作遊戲, 冒險遊戲"
大富翁2,益智遊戲
The Labyrinth of Time,冒險遊戲
Subwar 2050,"動作遊戲, 模擬遊戲, 策略遊戲"
魔法師西蒙,冒險遊戲
三只眼變成,冒險遊戲
Fatty Bear's Birthday Surprise,冒險遊戲
第七訪客,冒險遊戲
魯濱孫的安魂曲集,角色扮演
叛變克朗多,角色扮演
重返魔域帝國,冒險遊戲
命運之矛,動作遊戲
星球大戰：Rebel Assault 1+2,"動作遊戲, 模擬遊戲"
Putt-Putt Goes to the Moon,冒險遊戲
炮灰,第三人稱射擊
毀滅戰士,第一人稱射擊
布萊克斯通：黃金外星人,第一人稱射擊
Jim Power : The Lost Dimension,"動作遊戲, 冒險遊戲"
洛克人X,動作遊戲
黑暗之蠱,冒險遊戲
星球大戰 X-Wing Special Edition,"動作遊戲, 模擬遊戲"
席德梅爾：殖民,"冒險遊戲, 模擬遊戲"
正宗臺灣十六張麻將,益智遊戲
龍之星球,角色扮演
繼承大地,冒險遊戲
Noctropolis,冒險遊戲
魔獸爭霸：人類與獸人,即時戰略
軒轅劍2,角色扮演
三國志4,策略遊戲
Putt-Putt and Fatty Bear's Activity Pack,未知類型
英雄傳說3：白髮魔女,角色扮演
創世紀8：異教徒,角色扮演
星球火力,飛行射擊
毀滅戰士2,第一人稱射擊
炎龍騎士團：邪神之封印,策略戰棋
鐵血聯盟,即時戰略
星球大戰：鈦戰機,飛行射擊
Wolfenstein 3D,動作遊戲
布萊克斯通：星球突擊,第一人稱射擊
Little Big Adventure,"動作遊戲, 冒險遊戲, 角色扮演"
Freddi Fish and the Case of the Missing Kelp Seeds,冒險遊戲
中世紀領主,即時戰略
炮灰2,第三人稱射擊
洛克人X2,動作遊戲
獅子王,動作遊戲
軒轅劍外傳：楓之舞,角色扮演
惡魔的呼喚：南極冰怪,冒險遊戲
魔法師西蒙2,冒險遊戲
星球大戰：黑暗力量,第一人稱射擊
天旋地轉,第一人稱射擊
彈珠世界,益智遊戲
毀滅戰士I+II合集,第一人稱射擊
野獸與鄉巴佬,即時戰略
三只眼：吸精公主,冒險遊戲
極速天龍,冒險遊戲
仙劍奇俠傳,角色扮演
炎龍騎士團2：黃金城之謎,策略遊戲
卡曼奇,飛行射擊
極品飛車,賽車競速
超級馬里奧世界2：耀西島,冒險遊戲
魔法門之英雄無敵,策略遊戲
鐵血十字軍,動作遊戲
雷神英雄傳,角色扮演
無悔的十字軍戰士,第三人稱射擊
你不了解傑克：1XL,未知類型
食人蟲：黑暗之瘟疫,角色扮演
百戰天蟲,策略遊戲
邪教巫師,動作遊戲
Capitalism Plus,"模擬遊戲, 策略遊戲"
黎明之砧,角色扮演
無敵先鋒：黑暗之源,動作遊戲
The Dig,冒險遊戲
驚魂11小時,冒險遊戲
魔獸爭霸2：黑潮,即時戰略
黑暗之蠱2,冒險遊戲
沙拉娜之劍,冒險遊戲
Slipstream 5000,"動作遊戲, 競速遊戲, 體育遊戲"
寶寶噗車噗車動物園,益智遊戲
NBA Live 96,體育遊戲
電腦戰機,格鬥遊戲
HeXen: Deathkings of the Dark Citadel,動作遊戲
Putt-Putt and Pep's Balloon-o-Rama,冒險遊戲
泰坦尼克,冒險遊戲
來生,模擬遊戲
97賽手,競速遊戲
毀滅公爵3D,第一人稱射擊
龍機傳承,角色扮演
Bad Mojo Redux,"冒險遊戲, 模擬遊戲"
文明2,策略遊戲
魔域帝國：復仇者,冒險遊戲
壞蟑螂,冒險遊戲
Terra Nova: Strike Force Centauri,"動作遊戲, 模擬遊戲"
Freddi Fish 2: The Case of the Haunted Schoolhouse,冒險遊戲
大富翁3,益智遊戲
先進戰術戰鬥機,模擬遊戲
蚯蚓吉姆2,動作遊戲
英傑傳2：三國志孔明傳,策略遊戲
雷曼,動作遊戲
原始戰爭：老兵版,"動作遊戲, 角色扮演"
英雄傳說4：朱紅之淚,角色扮演
Normality,"動作遊戲, 冒險遊戲"
戀愛物語,戀愛養成
時空遊俠,動作遊戲
烈火戰車2,競速遊戲
上古卷軸2：匕首雨,角色扮演
死亡拉力賽經典款,競速遊戲
收割者,冒險遊戲
暴力摩托,競速
你不了解傑克SPORTS,未知類型
戰鬥巡洋艦：西元3000,模擬遊戲
魔毯2,第一人稱射擊
紅色警戒,即時戰略
無聲狂嘯,冒險遊戲
中世紀領主2,即時戰略
Pajama Sam: No Need to Hide When It's Dark Outside,冒險遊戲
魔法門之英雄無敵2：延續的戰爭,策略遊戲
粘土世界,冒險遊戲
暗黑破壞神,動作角色扮演
Freddi Fish and Luther's Maze Madness,冒險遊戲
你不了解傑克2,未知類型
東方靈異傳,飛行射擊
航海世紀,即時戰略
死亡地帶,冒險
幽靈的國度,動作遊戲
超時空英雄傳說2：復仇魔神,角色扮演
正宗臺灣十六張麻將2,益智遊戲
點火,競速遊戲
巫毒小子,冒險遊戲
瘋狂飆車,競速遊戲
絕地風暴,即時戰略
神奇傳說,角色扮演
東方快車謀殺案：黃金版,冒險遊戲
主題醫院,模擬經營
銀河創世紀,策略遊戲
Fragile Allegiance,策略遊戲
洛克人X3,動作遊戲
世嘉拉力錦標賽,競速遊戲
星球大戰：X翼VS鈦戰機,"動作遊戲, 模擬遊戲"
YOU DON'T KNOW JACK MOVIES,未知類型
極品飛車2,競速遊戲
劍俠情緣,角色扮演
農夫也瘋狂,第一人稱射擊
血獅,即時戰略
法外行,第一人稱射擊
影子武士：經典回歸,動作遊戲
Little Big Adventure 2,"動作遊戲, 冒險遊戲, 角色扮演"
你不了解傑克合集,冒險遊戲
英傑傳3：毛利元就傳,策略遊戲
神奇傳說：時空道標,角色扮演
明星之夢,戀愛養成
Carmageddon Max Pack,"動作遊戲, 競速遊戲"
地下城守護者,角色扮演
工業大亨,模擬遊戲
雙子星奇遇記,動作遊戲
688I深海獵鯊,策略遊戲
Betrayal Collection,角色扮演
新世紀福音戰士：鋼鐵的女友,戀愛養成
007：黃金眼,第一人稱射擊
幽浮：啟示錄,策略遊戲
炸彈人,益智遊戲
東方封魔錄,飛行射擊
暗黑殖民地,即時戰略
黑暗王朝：未來戰爭,即時戰略
摩托英豪,競速遊戲
輻射,角色扮演
帝國時代,即時戰略
星球大戰：帝國的陰影,"動作遊戲, 冒險遊戲"
裝甲元帥2,策略遊戲
大地傳說2：命運守護者,角色扮演
試驗駕駛4,競速遊戲
虎膽神貓,動作遊戲
星球大戰絕地武士：黑暗力量2,動作遊戲
斷劍2：煙鏡,冒險遊戲
