movie_title,movie_genre
刺激1995,"劇情, 犯罪"
教父,"劇情, 犯罪"
教父II,"劇情, 犯罪"
辛德勒的名單,"劇情, 歷史, 戰爭"
十二怒漢,劇情
神隱少女,"動畫, 家庭, 奇幻"
漂洋過海愛上你,"喜劇, 劇情, 愛情"
黑暗騎士,"劇情, 動作, 犯罪, 驚悚"
綠色奇蹟,"奇幻, 劇情, 犯罪"
寄生上流,"喜劇, 驚悚, 劇情"
黑色追緝令,"驚悚, 犯罪"
你的名字,"動畫, 愛情, 劇情"
魔戒三部曲：王者再臨,"冒險, 奇幻, 動作"
阿甘正傳,"喜劇, 劇情, 愛情"
黃昏三鏢客,西部
七武士,"動作, 劇情"
四海好傢伙,"劇情, 犯罪"
螢火蟲之墓,"動畫, 劇情, 戰爭"
新天堂樂園,"劇情, 愛情"
星際效應,"冒險, 劇情, 科幻"
美麗人生,"喜劇, 劇情"
鬥陣俱樂部,劇情
驚魂記,"恐怖, 驚悚, 懸疑"
無法無天,"劇情, 犯罪"
四海兄弟,"劇情, 犯罪"
魔戒首部曲：魔戒現身,"冒險, 奇幻, 動作"
飛越杜鵑窩,劇情
加百列的地獄,"愛情, 劇情"
切腹,"動作, 劇情, 歷史"
史前戰紀：野蠻故事　,"動作, 冒險, 動畫, 劇情"
霍爾的移動城堡,"奇幻, 動畫, 冒險"
喵的奇幻漂流,"動畫, 奇幻, 冒險"
魔戒二部曲：雙城奇謀,"冒險, 奇幻, 動作"
蜘蛛人：新宇宙,"動畫, 動作, 冒險, 科幻"
星際大戰五部曲：帝國大反擊,"冒險, 動作, 科幻"
電影版 聲之形,"動畫, 劇情, 愛情"
希望：為愛重生,劇情
戰地琴人,"劇情, 戰爭"
進擊的鼓手,"劇情, 音樂"
癲狂世代,劇情
火線追緝令,"犯罪, 懸疑, 驚悚"
全面啟動,"動作, 科幻, 冒險"
荒野機器人,"動畫, 動作, 科幻, 家庭"
同級生 劇場版,"愛情, 動畫"
羅小黑戰記,"動畫, 奇幻, 動作"
蜘蛛人：穿越新宇宙,"動畫, 動作, 冒險, 科幻"
後窗,"驚悚, 懸疑"
沉默的羔羊,"犯罪, 劇情, 驚悚"
劇場版 五等分的新娘,"動畫, 喜劇, 愛情"
美國X檔案,劇情
天國與地獄,"劇情, 犯罪, 懸疑"
魔法公主,"冒險, 奇幻, 動畫"
回到未來,"冒險, 喜劇, 科幻"
牯嶺街少年殺人事件,"犯罪, 劇情, 愛情"
生之慾,劇情
